year,publications,topic
2000,17,identity_representation
2001,17,identity_representation
2002,26,identity_representation
2003,44,identity_representation
2004,44,identity_representation
2005,48,identity_representation
2006,59,identity_representation
2007,70,identity_representation
2008,91,identity_representation
2009,100,identity_representation
2010,118,identity_representation
2011,124,identity_representation
2012,124,identity_representation
2013,130,identity_representation
2014,171,identity_representation
2015,188,identity_representation
2016,182,identity_representation
2017,214,identity_representation
2018,274,identity_representation
2019,330,identity_representation
2020,356,identity_representation
2021,431,identity_representation
2022,526,identity_representation
2023,612,identity_representation
2024,618,identity_representation
2025,827,identity_representation
2000,6,transgender_workplace_experience
2001,3,transgender_workplace_experience
2002,6,transgender_workplace_experience
2003,7,transgender_workplace_experience
2004,9,transgender_workplace_experience
2005,8,transgender_workplace_experience
2006,3,transgender_workplace_experience
2007,20,transgender_workplace_experience
2008,9,transgender_workplace_experience
2009,24,transgender_workplace_experience
2010,21,transgender_workplace_experience
2011,20,transgender_workplace_experience
2012,27,transgender_workplace_experience
2013,31,transgender_workplace_experience
2014,55,transgender_workplace_experience
2015,63,transgender_workplace_experience
2016,87,transgender_workplace_experience
2017,93,transgender_workplace_experience
2018,128,transgender_workplace_experience
2019,153,transgender_workplace_experience
2020,175,transgender_workplace_experience
2021,174,transgender_workplace_experience
2022,247,transgender_workplace_experience
2023,320,transgender_workplace_experience
2024,310,transgender_workplace_experience
2025,271,transgender_workplace_experience
2000,1,iam_and_architecture
2001,4,iam_and_architecture
2002,7,iam_and_architecture
2003,5,iam_and_architecture
2004,17,iam_and_architecture
2005,21,iam_and_architecture
2006,26,iam_and_architecture
2007,30,iam_and_architecture
2008,35,iam_and_architecture
2009,51,iam_and_architecture
2010,49,iam_and_architecture
2011,60,iam_and_architecture
2012,67,iam_and_architecture
2013,68,iam_and_architecture
2014,86,iam_and_architecture
2015,80,iam_and_architecture
2016,80,iam_and_architecture
2017,99,iam_and_architecture
2018,135,iam_and_architecture
2019,161,iam_and_architecture
2020,204,iam_and_architecture
2021,229,iam_and_architecture
2022,251,iam_and_architecture
2023,283,iam_and_architecture
2024,267,iam_and_architecture
2025,355,iam_and_architecture
2000,16,hr_and_organizational_systems
2001,18,hr_and_organizational_systems
2002,19,hr_and_organizational_systems
