title,year,citations
"Neurodiversity, Gender, and Work",2024,5
Economic Perspectives on Corporate Social Responsibility,2012,1093
The Participation of People with Disabilities in the Workplace Across the Employment Cycle: Employer Concerns and Research Evidence,2019,430
"Diversity, Inclusion and Leadership: Perspectives From an Academic Department",2020,4
"Voice, silence, and diversity in 21st century organizations: Strategies for inclusion of gay, lesbian, bisexual, and transgender employees",2011,292
Hostile climates are barriers to diversifying the geosciences,2020,222
The Economic Lives of the Poor,2007,1536
Diamond in the rough? An “empty review” of research into “neurodiversity” and a road map for developing the inclusion agenda,2021,100
Impact of inclusive leadership on employee innovative behavior: Perceived organizational support as a mediator,2019,281
"Justice, Fairness, and Employee Reactions",2015,294
Advances in the Treatment of Context in Organizational Research,2017,289
Corona Crisis and Inequality: Why Management Research Needs a Societal Turn,2020,283
Ethics and discrimination in artificial intelligence-enabled recruitment practices,2023,292
"Living the good life: A meta-analysis of authenticity, well-being and engagement",2019,223
The Triumph of Nonsense in Management Studies,2019,287
Leader–member exchange (LMX) differentiation and work outcomes: Conceptual clarification and critical review,2017,254
Barriers and drivers to sustainable business model innovation: Organization design and dynamic capabilities,2019,701
The Transparency Paradox,2012,342
Variability Within Organizations: Implications for Strategic Human Resource Management,2007,263
"Higher education as the frontline of democracy: The case against Florida House Bill 233, the anti-shielding/intellectual viewpoint diversity/student recording legislative act",2023,6
"Cultural Diversity, Innovation, and Entrepreneurship: Firm‐level Evidence from <scp>L</scp>ondon",2013,286
"Lesbians, Gays, Bisexuals, and Transgendered People and Human Resource Development",2012,53
"Disability, diversity, and corporate social responsibility: Learning from recognized leaders in inclusion",2019,83
Maybe It Is Time to Rediscover Bureaucracy,2005,742
"The Sociomateriality of Information Systems: Current Status, Future Directions",2014,340
Image and reputation of family firms: a systematic literature review of the state of research,2016,277
Inclusive Leadership and Taking-Charge Behavior: Roles of Psychological Safety and Thriving at Work,2020,169
Legal Consciousness Reconsidered,2019,227
"The ethics of people analytics: risks, opportunities and recommendations",2021,142
